phrase,category,cluster
outdoor use,Arts_Crafts_and_Sewing,1
craft supplies,Arts_Crafts_and_Sewing,1
craft item,Arts_Crafts_and_Sewing,1
craft project,Arts_Crafts_and_Sewing,1
craft work,Arts_Crafts_and_Sewing,1
crafts projects,Arts_Crafts_and_Sewing,1
variety of projects,Arts_Crafts_and_Sewing,1
art project,Arts_Crafts_and_Sewing,1
different projects,Arts_Crafts_and_Sewing,1
mixed media projects,Arts_Crafts_and_Sewing,1
craft fair,Arts_Crafts_and_Sewing,1
craft room,Arts_Crafts_and_Sewing,1
craft needs,Arts_Crafts_and_Sewing,1
craft stores,Arts_Crafts_and_Sewing,1
local craft store,Arts_Crafts_and_Sewing,1
mini album,Arts_Crafts_and_Sewing,1
outdoor cushions,Arts_Crafts_and_Sewing,1
homemade cards,Arts_Crafts_and_Sewing,1
project look,Arts_Crafts_and_Sewing,1
large project,Arts_Crafts_and_Sewing,1
small projects,Arts_Crafts_and_Sewing,1
fun project,Arts_Crafts_and_Sewing,1
quilting project,Arts_Crafts_and_Sewing,1
next project,Arts_Crafts_and_Sewing,1
cross stitch kits,Arts_Crafts_and_Sewing,1
easy install,Automotive,1
easy to install,Automotive,1
simple install,Automotive,1
problem installing,Automotive,1
professional install,Automotive,1
center console,Automotive,1
minute install,Automotive,1
min install,Automotive,1
quick installation,Automotive,1
install instructions,Automotive,1
car windows,Automotive,1
tinted windows,Automotive,1
mechanic install,Automotive,1
easy instructions,Automotive,1
backup lights,Automotive,1
ford explorer,Automotive,1
mitsubishi eclipse,Automotive,1
same as oem,Automotive,1
super easy,Automotive,1
long time,Automotive,1
easy access,Automotive,1
rubber boot,Automotive,1
super product,Automotive,1
super fast,Automotive,1
much cooler,Automotive,1
expiration date,Grocery_and_Gourmet_Food,1
expired date,Grocery_and_Gourmet_Food,1
use by date,Grocery_and_Gourmet_Food,1
freshness date,Grocery_and_Gourmet_Food,1
exp date,Grocery_and_Gourmet_Food,1
only complaint,Grocery_and_Gourmet_Food,1
only drawback,Grocery_and_Gourmet_Food,1
fast shipment,Grocery_and_Gourmet_Food,1
quick shipment,Grocery_and_Gourmet_Food,1
delivery date,Grocery_and_Gourmet_Food,1
due date,Grocery_and_Gourmet_Food,1
different seller,Grocery_and_Gourmet_Food,1
buyer beware,Grocery_and_Gourmet_Food,1
sell by date,Grocery_and_Gourmet_Food,1
repeat buyer,Grocery_and_Gourmet_Food,1
return policy,Grocery_and_Gourmet_Food,1
nursing home,Grocery_and_Gourmet_Food,1
only option,Grocery_and_Gourmet_Food,1
return customer,Grocery_and_Gourmet_Food,1
money spent,Grocery_and_Gourmet_Food,1
only product,Grocery_and_Gourmet_Food,1
only place,Grocery_and_Gourmet_Food,1
extra money,Grocery_and_Gourmet_Food,1
pay attention,Grocery_and_Gourmet_Food,1
amount of money,Grocery_and_Gourmet_Food,1
mouse pad,Office_Products,1
wrist pad,Office_Products,1
desk pad,Office_Products,1
mickey mouse,Office_Products,1
laser mouse,Office_Products,1
wireless mouse,Office_Products,1
optical mouse,Office_Products,1
note pad,Office_Products,1
legal pad,Office_Products,1
memo pad,Office_Products,1
pad of paper,Office_Products,1
dry erase markers,Office_Products,1
expo markers,Office_Products,1
hole punch,Office_Products,1
stamp pad,Office_Products,1
ink pad,Office_Products,1
push pins,Office_Products,1
black marker,Office_Products,1
permanent marker,Office_Products,1
chalk markers,Office_Products,1
belt loop,Office_Products,1
sticky residue,Office_Products,1
dry erase board,Office_Products,1
belt clip,Office_Products,1
bottle opener,Office_Products,1
heavy duty,Patio_Lawn_and_Garden,1
big deal,Patio_Lawn_and_Garden,1
big lots,Patio_Lawn_and_Garden,1
phone number,Patio_Lawn_and_Garden,1
plenty of room,Patio_Lawn_and_Garden,1
much room,Patio_Lawn_and_Garden,1
enough room,Patio_Lawn_and_Garden,1
hundreds of dollars,Patio_Lawn_and_Garden,1
direct replacement,Patio_Lawn_and_Garden,1
big problem,Patio_Lawn_and_Garden,1
large area,Patio_Lawn_and_Garden,1
heavy material,Patio_Lawn_and_Garden,1
big plus,Patio_Lawn_and_Garden,1
big difference,Patio_Lawn_and_Garden,1
heavy use,Patio_Lawn_and_Garden,1
big box stores,Patio_Lawn_and_Garden,1
big hit,Patio_Lawn_and_Garden,1
huge box,Patio_Lawn_and_Garden,1
heavy snow,Patio_Lawn_and_Garden,1
big mess,Patio_Lawn_and_Garden,1
new battery,Patio_Lawn_and_Garden,1
big disappointment,Patio_Lawn_and_Garden,1
big mistake,Patio_Lawn_and_Garden,1
big fan,Patio_Lawn_and_Garden,1
arrival date,Patio_Lawn_and_Garden,1
assorted colors,Arts_Crafts_and_Sewing,1
selection of colors,Arts_Crafts_and_Sewing,1
variety of colors,Arts_Crafts_and_Sewing,1
different colours,Arts_Crafts_and_Sewing,1
different colors,Arts_Crafts_and_Sewing,1
various colors,Arts_Crafts_and_Sewing,1
solid colors,Arts_Crafts_and_Sewing,1
darker colors,Arts_Crafts_and_Sewing,1
vibrant colors,Arts_Crafts_and_Sewing,1
different fabrics,Arts_Crafts_and_Sewing,1
skein of yarn,Arts_Crafts_and_Sewing,1
tee shirt,Arts_Crafts_and_Sewing,1
small beads,Arts_Crafts_and_Sewing,1
pony beads,Arts_Crafts_and_Sewing,1
clear beads,Arts_Crafts_and_Sewing,1
large beads,Arts_Crafts_and_Sewing,1
enough yarn,Arts_Crafts_and_Sewing,1
yellow color,Arts_Crafts_and_Sewing,1
colored pencils,Arts_Crafts_and_Sewing,1
same colors,Arts_Crafts_and_Sewing,1
new colors,Arts_Crafts_and_Sewing,1
own colors,Arts_Crafts_and_Sewing,1
type of yarn,Arts_Crafts_and_Sewing,1
first wear,Arts_Crafts_and_Sewing,1
cotton yarn,Arts_Crafts_and_Sewing,1
exact fit,Automotive,2
fit well,Automotive,2
proper fit,Automotive,2
fit fine,Automotive,3
fit right,Automotive,2
fit properly,Automotive,2
fit as described,Automotive,2
custom fit,Automotive,2
exact oem fit,Automotive,2
fit like factory,Automotive,2
timely manner,Automotive,1
different brand,Automotive,1
exact replacement,Automotive,1
factory replacement,Automotive,1
original pump,Automotive,4
timely matter,Automotive,1
simple design,Automotive,1
correct item,Automotive,1
correct product,Automotive,1
original review,Automotive,4
poor fit,Automotive,2
correct parts,Automotive,1
factory specs,Automotive,1
exact replica,Automotive,1
product fit,Automotive,2
dark chocolate,Grocery_and_Gourmet_Food,1
milk chocolate,Grocery_and_Gourmet_Food,1
double chocolate,Grocery_and_Gourmet_Food,1
yummy candy,Grocery_and_Gourmet_Food,1
candy bar,Grocery_and_Gourmet_Food,1
hard candy,Grocery_and_Gourmet_Food,1
fresh candy,Grocery_and_Gourmet_Food,1
cup of tea,Grocery_and_Gourmet_Food,1
cup of coffee,Grocery_and_Gourmet_Food,1
cup of water,Grocery_and_Gourmet_Food,1
peanut butter cups,Grocery_and_Gourmet_Food,1
natural peanut butter,Grocery_and_Gourmet_Food,1
like chocolate,Grocery_and_Gourmet_Food,1
chocolate flavor,Grocery_and_Gourmet_Food,1
raw honey,Grocery_and_Gourmet_Food,1
chocolate syrup,Grocery_and_Gourmet_Food,1
much chocolate,Grocery_and_Gourmet_Food,1
subtle flavor,Grocery_and_Gourmet_Food,1
first cup,Grocery_and_Gourmet_Food,1
chocolate craving,Grocery_and_Gourmet_Food,1
type of candy,Grocery_and_Gourmet_Food,1
little honey,Grocery_and_Gourmet_Food,1
peanut brittle,Grocery_and_Gourmet_Food,1
passion fruit,Grocery_and_Gourmet_Food,1
milk supply,Grocery_and_Gourmet_Food,1
key chain,Office_Products,1
new home,Office_Products,1
new house,Office_Products,1
retail stores,Office_Products,1
house key,Office_Products,1
home business,Office_Products,1
small business,Office_Products,1
current month,Office_Products,1
same company,Office_Products,1
new product,Office_Products,1
new model,Office_Products,1
new unit,Office_Products,1
new item,Office_Products,1
near future,Office_Products,1
new set,Office_Products,1
new job,Office_Products,1
current year,Office_Products,1
new calendar,Office_Products,1
personal use,Office_Products,1
expensive brands,Office_Products,1
new battery,Office_Products,1
business days,Office_Products,1
new year,Office_Products,1
personal preference,Office_Products,1
personal touch,Office_Products,1
exact fit,Patio_Lawn_and_Garden,2
fit well,Patio_Lawn_and_Garden,2
proper fit,Patio_Lawn_and_Garden,2
fit right,Patio_Lawn_and_Garden,2
fit as described,Patio_Lawn_and_Garden,2
product fit,Patio_Lawn_and_Garden,2
temperature gauge,Patio_Lawn_and_Garden,1
timely manner,Patio_Lawn_and_Garden,1
